,precision,recall,f1,accuracy,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,colsample_bylevel,gamma
0,0.74,0.78,0.75,0.7,50.0,3.0,0.2,10.0,0.6,0.9,0.5,0.2
1,0.58,0.63,0.58,0.6,50.0,3.0,0.2,10.0,0.6,0.9,0.5,1.0
2,0.71,0.74,0.7,0.69,50.0,3.0,0.2,5.0,0.4,1.0,0.9,1.0
3,0.71,0.54,0.58,0.63,50.0,3.0,0.2,10.0,0.4,0.8,0.5,1.0
