,attr,importance
8,8,0.14714658
0,0,0.09927394
11,11,0.09484009
7,7,0.08683109
9,9,0.0864244
1,1,0.077794
10,10,0.0775137
6,6,0.071520016
2,2,0.06921759
4,4,0.06599087
3,3,0.06434212
5,5,0.059105646
