,attr,importance
6,8,0.14716813
8,10,0.11377811
5,7,0.11119589
0,0,0.11108887
9,11,0.10979658
4,6,0.08847833
7,9,0.08358733
2,3,0.08191372
1,1,0.08040518
3,5,0.07258783
