,attr,importance
6,8,0.17652526
1,1,0.1144078
5,7,0.10457494
9,11,0.09880192
7,9,0.092646256
0,0,0.09220208
8,10,0.088299945
4,5,0.08298155
3,4,0.07524358
2,3,0.07431658
