,attr,importance
6,8,0.1702535
0,0,0.11236268
9,11,0.11120853
1,2,0.09981732
7,9,0.09468489
5,7,0.09343222
8,10,0.082783304
2,4,0.08053886
3,5,0.077982694
4,6,0.07693599
