,attr,importance
5,8,0.1576967
7,10,0.14195366
0,0,0.11141325
4,7,0.11014886
8,11,0.099306524
9,12,0.08528904
6,9,0.07773744
3,6,0.07734243
2,4,0.07264365
1,1,0.06646847
