,attr,importance
3,3,0.10069408
2,2,0.09657662
10,10,0.09593625
4,4,0.093255185
1,1,0.092352934
9,9,0.09163761
0,0,0.09048083
8,8,0.0888734
7,7,0.0837494
6,6,0.08353615
5,5,0.08290748
