,attr,importance
7,8,0.1627245
0,0,0.10715552
9,10,0.10709152
1,1,0.091931
6,7,0.091156594
10,11,0.08151673
8,9,0.0814518
4,5,0.07890615
3,4,0.06868721
5,6,0.06635593
2,2,0.06302311
