,attr,importance
6,8,0.1432948
0,0,0.12090587
9,11,0.11848645
5,7,0.11083794
8,10,0.099864475
1,1,0.089135535
2,2,0.086309046
7,9,0.08514276
4,5,0.0730697
3,4,0.07295341
