,attr,importance
8,10,0.16179696
6,8,0.12654085
5,7,0.12208344
0,0,0.098302245
1,1,0.09040867
9,11,0.08740194
3,5,0.087154664
2,4,0.07688568
7,9,0.076672524
4,6,0.072753094
