,attr,importance
6,8,0.1620467
0,0,0.11721338
7,9,0.11210272
5,7,0.11028777
8,10,0.09393607
3,5,0.08809445
9,11,0.08586588
2,4,0.08179742
1,1,0.07867231
4,6,0.06998317
