,attr,importance
4,4,0.10571897
8,9,0.105385676
6,7,0.10184226
7,8,0.10146634
0,0,0.100861765
9,10,0.10039093
3,3,0.10017168
2,2,0.097596906
1,1,0.097056754
5,5,0.08950866
