,attr,importance
8,8,0.16137244
9,9,0.09135559
11,11,0.09049229
0,0,0.09018989
7,7,0.08139372
10,10,0.07364516
6,6,0.07277478
1,1,0.06987627
4,4,0.06958331
5,5,0.06904251
2,2,0.06819836
3,3,0.06207574
