,precision,recall,f1,accuracy,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,colsample_bylevel,gamma
0,0.67,0.62,0.62,0.59,800.0,8.0,0.2,15.0,0.8,1.0,0.9,0.8
1,0.55,0.68,0.59,0.57,500.0,8.0,0.2,5.0,1.0,1.0,0.9,0.2
2,0.61,0.56,0.56,0.58,1000.0,5.0,0.2,15.0,0.2,1.0,0.9,0.2
3,0.6,0.61,0.59,0.58,800.0,5.0,0.2,5.0,0.4,1.0,0.9,0.8
