,rmse,mape,mae,accuracy,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,colsample_bylevel,gamma
0,2.146889049515733,2.0083558084900006,1.870459707956466,0.4895833333333333,200.0,6.0,0.1,5.0,1.0,1.0,0.5,0.3
1,2.6841022745595757,2.354439296856938,2.3350584696209626,0.5208333333333334,200.0,6.0,0.01,10.0,1.0,1.0,1.0,0.3
2,2.7693703699630916,2.4082394954547737,2.439765778798906,0.5083333333333333,200.0,6.0,0.01,5.0,0.4,1.0,1.0,0.8
3,2.732365000249399,2.22103537711986,2.3397224971226294,0.5166666666666667,100.0,6.0,0.1,5.0,1.0,1.0,0.5,0.3
4,2.759386760691365,2.210975930134122,2.3890913857354064,0.5541666666666667,200.0,6.0,0.01,10.0,1.0,1.0,1.0,0.8
5,2.9730698407151572,2.2912988048442515,2.563397271292551,0.5166666666666667,100.0,5.0,0.01,10.0,0.4,1.0,1.0,0.8
6,3.1919091943029634,2.3754363688174016,2.797439711434501,0.5520833333333334,200.0,6.0,0.01,10.0,1.0,1.0,1.0,0.3
7,2.61080595122933,1.8629792379663936,2.2904020642477363,0.5333333333333333,100.0,5.0,0.1,5.0,1.0,1.0,1.0,0.3
8,2.885164473804068,1.926614211138473,2.4561510388813317,0.5083333333333334,100.0,6.0,0.1,10.0,1.0,1.0,1.0,0.3
9,3.2647537029762783,2.1460410102888603,2.7669228145054405,0.5208333333333334,100.0,5.0,0.1,10.0,1.0,1.0,0.5,0.3
10,3.5857179747193975,2.412115543946528,3.11984460316007,0.53125,200.0,5.0,0.1,5.0,1.0,0.5,1.0,0.8
11,3.081408986706348,1.9839154431508945,2.609074350387331,0.4791666666666667,100.0,5.0,0.1,5.0,1.0,0.5,0.5,0.8
