,rmse,mape,mae,accuracy,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,colsample_bylevel,gamma
0,1.0590905831915354,1.4187017938815742,0.9297214569584015,0.532258064516129,50.0,3.0,0.1,5.0,0.9,1.0,0.8,0.5
1,1.206821324801169,1.5277873488716909,1.0601208471482801,0.5342741935483871,50.0,2.0,0.1,5.0,0.9,1.0,0.6,0.5
2,1.3350610809884071,1.62050027766871,1.1772937097857075,0.5201612903225806,50.0,2.0,0.1,5.0,0.9,1.0,0.6,0.5
3,1.3001056458296176,1.5240395984294755,1.145909297081732,0.5141129032258065,50.0,2.0,0.1,5.0,0.9,1.0,0.6,0.5
4,1.3152570059995237,1.4993562986908837,1.1583819604689074,0.530241935483871,50.0,2.0,0.1,5.0,0.9,1.0,0.6,0.5
5,1.3910933905549714,1.5621780821128595,1.2310060070407005,0.5161290322580645,50.0,2.0,0.1,5.0,0.9,1.0,0.6,0.5
6,1.4000928897539415,1.547796293818121,1.2331789447415258,0.4879032258064516,50.0,2.0,0.1,5.0,0.9,1.0,0.6,0.5
7,1.572440010592685,1.7501740807833048,1.3792989300143335,0.48588709677419356,50.0,2.0,0.1,5.0,0.9,1.0,0.6,0.8
8,1.5043006627059488,1.7086345777391831,1.3265093526532572,0.532258064516129,50.0,2.0,0.1,5.0,0.4,1.0,0.6,0.8
9,1.470100885088575,1.6947368904877753,1.2941037577967491,0.5080645161290323,50.0,2.0,0.1,5.0,0.2,1.0,0.8,0.9
10,1.5185523416764706,1.7954836347545868,1.347880135813067,0.5766129032258065,50.0,3.0,0.1,5.0,0.4,0.5,0.8,0.9
11,1.3905374957859962,1.6681995757801984,1.2262072532407702,0.5846774193548387,50.0,3.0,0.1,5.0,0.4,0.5,0.8,0.9
