,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,INTC,1008,no_merge,0.19,0.48,0.33,-0.02,0.33,-0.38,-0.18
1,INTC,1008,merge_0,0.19,0.48,0.33,-0.02,0.33,-0.38,-0.18
2,INTC,1008,merge_1,0.19,0.57,0.24,0.02,0.27,0.36,0.54
3,INTC,1008,merge_2,0.24,0.43,0.33,0.05,0.36,-0.34,-0.12
4,INTC,1008,merge_3,0.24,0.43,0.33,0.07,0.36,-0.34,-0.12
5,INTC,1008,yesterday_strategy,0.0,0.71,0.29,-0.12,0.18,0.24,0.36
6,INTC,1008,trend,0.29,0,0.71,-0.12,0.18,0.24,0.36
7,INTC,1050,no_merge,0.19,0.71,0.1,0.14,0.18,0.24,0.36
8,INTC,1050,merge_0,0.19,0.71,0.1,0.14,0.18,0.24,0.36
9,INTC,1050,merge_1,0.14,0.76,0.1,0.04,0.15,0.2,0.3
10,INTC,1050,merge_2,0.19,0.71,0.1,0.09,0.18,0.24,0.36
11,INTC,1050,merge_3,0.1,0.81,0.1,0.02,0.12,0.16,0.24
12,INTC,1050,yesterday_strategy,0.29,0.43,0.29,0.04,0.36,0.48,0.72
13,INTC,1050,trend,0.62,0,0.38,-0.01,0.39,0.52,0.78
14,INTC,1092,no_merge,0.43,0.24,0.33,0.15,0.48,0.64,0.96
15,INTC,1092,merge_0,0.43,0.24,0.33,0.15,0.48,0.64,0.96
16,INTC,1092,merge_1,0.48,0.24,0.29,0.14,0.48,0.64,0.96
17,INTC,1092,merge_2,0.43,0.29,0.29,0.15,0.45,0.6,0.9
18,INTC,1092,merge_3,0.38,0.29,0.33,0.05,0.45,0.6,0.9
19,INTC,1092,yesterday_strategy,0.48,0.38,0.14,0.25,0.39,0.52,0.78
20,INTC,1092,trend,0.62,0,0.38,0.26,0.39,0.52,0.78
21,INTC,1134,no_merge,0.29,0.62,0.1,0.29,0.24,0.32,0.48
22,INTC,1134,merge_0,0.29,0.62,0.1,0.29,0.24,0.32,0.48
23,INTC,1134,merge_1,0.14,0.76,0.1,0.25,0.15,0.2,0.3
24,INTC,1134,merge_2,0.33,0.48,0.19,0.28,0.33,0.44,0.66
25,INTC,1134,merge_3,0.38,0.43,0.19,0.34,0.36,0.48,0.72
26,INTC,1134,yesterday_strategy,0.19,0.52,0.29,0.03,0.3,0.4,0.6
27,INTC,1134,trend,0.52,0,0.48,-0.01,0.33,0.44,-0.4
28,INTC,1176,no_merge,0.33,0.33,0.33,0.14,-0.45,-0.32,-0.06
29,INTC,1176,merge_0,0.33,0.33,0.33,0.14,-0.45,-0.32,-0.06
30,INTC,1176,merge_1,0.19,0.67,0.14,0.16,-1.69,-1.64,-1.54
31,INTC,1176,merge_2,0.38,0.19,0.43,0.07,-2.22,-2.08,-1.8
