day,tic,type,rmse,mape,mae,accuracy,trend_day_first,trend_day_end,trend_all_percent,first_day_trend_test,first_day_trend_pred,end_day_trend_test,end_day_trend_pred,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,colsample_bylevel,gamma
1008,MMM,best_rmse,2.4225653315263647,2.0126409995591557,2.2438262939453097,0.5,0,0,0.0,down,up,down,up,200.0,6.0,0.1,5.0,1.0,1.0,0.5,0.3
1050,MMM,best_rmse,2.058149561149509,1.6586881259409776,1.7988616943359346,0.25,1,0,16.67,up,up,down,up,200.0,6.0,0.1,5.0,1.0,1.0,0.5,0.3
1092,MMM,best_rmse,2.2366931397845415,1.7781724430328365,2.0733047485351532,0.5,1,0,16.67,up,up,up,down,200.0,6.0,0.1,5.0,1.0,1.0,0.5,0.3
1134,MMM,best_rmse,0.5441911370913232,0.3974432128912479,0.4737152099609375,0.75,0,1,16.67,down,up,up,up,200.0,6.0,0.1,5.0,1.0,1.0,0.5,0.3
1176,MMM,best_rmse,1.1417071625557347,0.9060424100350564,1.0886322021484318,0.0,0,0,0.0,up,down,up,down,200.0,6.0,0.1,5.0,1.0,1.0,0.5,0.3
1218,MMM,best_rmse,2.8704499489625594,2.15263634581765,2.7975296020507754,0.5,0,0,0.0,up,down,up,down,200.0,6.0,0.1,5.0,1.0,1.0,0.5,0.3
1260,MMM,best_rmse,3.182391527215164,2.159216280831522,2.8965545654296876,0.5,0,1,50.0,down,up,up,up,200.0,6.0,0.1,5.0,1.0,1.0,0.5,0.3
1302,MMM,best_rmse,3.2213572761997917,2.1444557225087686,2.935681152343733,0.25,1,0,33.33,up,up,down,up,200.0,6.0,0.1,5.0,1.0,1.0,0.5,0.3
1344,MMM,best_rmse,0.6201916360845247,0.3778799801080758,0.509246826171875,0.75,1,1,83.33,up,up,up,up,200.0,6.0,0.1,5.0,1.0,1.0,0.5,0.3
1386,MMM,best_rmse,1.6536927505311785,1.0279153829727727,1.3378967285156365,0.75,0,1,33.33,down,up,up,up,200.0,6.0,0.1,5.0,1.0,1.0,0.5,0.3
1428,MMM,best_rmse,1.2917482949005887,0.8201347480082882,0.9863037109374971,0.25,0,1,50.0,down,up,down,down,200.0,6.0,0.1,5.0,1.0,1.0,0.5,0.3
1470,MMM,best_rmse,0.7916163886731629,0.48826297279725334,0.6569427490234432,0.75,0,0,16.67,up,down,down,up,200.0,6.0,0.1,5.0,1.0,1.0,0.5,0.3
1008,MMM,best_mape,3.240536754558013,2.76604419827872,3.0848999023437473,0.5,0,0,0.0,down,up,down,up,100.0,5.0,0.1,5.0,1.0,1.0,1.0,0.3
1050,MMM,best_mape,1.374499658502888,0.9883356117076479,1.0695831298828096,0.5,1,1,66.67,up,up,down,down,100.0,5.0,0.1,5.0,1.0,1.0,1.0,0.3
1092,MMM,best_mape,2.2491782731318373,1.7705406111957862,2.0648101806640597,0.5,1,0,33.33,up,up,up,down,100.0,5.0,0.1,5.0,1.0,1.0,1.0,0.3
1134,MMM,best_mape,0.6877955322205667,0.5198476192772002,0.619775390625,0.75,0,1,16.67,down,up,up,up,100.0,5.0,0.1,5.0,1.0,1.0,1.0,0.3
1176,MMM,best_mape,1.3735920827609582,1.095227259626722,1.3155349731445256,0.75,0,0,0.0,up,down,up,down,100.0,5.0,0.1,5.0,1.0,1.0,1.0,0.3
1218,MMM,best_mape,1.6925731143239142,1.0258081965885075,1.3373245239257756,0.25,1,1,83.33,up,up,up,up,100.0,5.0,0.1,5.0,1.0,1.0,1.0,0.3
1260,MMM,best_mape,2.076932457452382,1.34373724622139,1.8005584716796874,0.5,0,1,50.0,down,up,up,up,100.0,5.0,0.1,5.0,1.0,1.0,1.0,0.3
1302,MMM,best_mape,1.3587860957533033,0.8872604979868668,1.2205047607421704,0.25,0,1,50.0,up,down,down,down,100.0,5.0,0.1,5.0,1.0,1.0,1.0,0.3
1344,MMM,best_mape,2.389134128936712,1.7027573909204605,2.2946380615234374,0.25,0,1,16.67,up,down,up,up,100.0,5.0,0.1,5.0,1.0,1.0,1.0,0.3
1386,MMM,best_mape,1.2072144680060701,0.7833360212381969,1.0242034912109261,0.75,1,1,66.67,down,down,up,up,100.0,5.0,0.1,5.0,1.0,1.0,1.0,0.3
